ds,yhat,yhat_lower,yhat_upper
2026-01-27,0.017391503500000002,-0.014209972900000001,0.0508752263
2026-01-28,0.0436659555,0.0108709338,0.07716583810000001
2026-01-29,0.1085529534,0.07538511070000001,0.1422235868
2026-01-30,0.2634407169,0.231172813,0.2965573724
2026-01-31,0.6049715415,0.5727538724,0.6389075094000001
2026-02-01,1.2420881354,1.2088922076,1.2779930334
2026-02-02,2.1293454604,2.0971563414,2.1625885392
2026-02-03,2.9682624087000002,2.9340747147,3.0039555412
2026-02-04,3.5164015293,3.4794994937,3.5501070709
2026-02-05,3.7935784547,3.759535904,3.8247583189
2026-02-06,3.9156986153,3.8820755788,3.9491075526
2026-02-07,3.9662152101,3.930794828,3.9998452717
2026-02-08,3.98656421,3.9531609202,4.0212552679
2026-02-09,3.9946732146,3.9627799479,4.0293907856
2026-02-10,3.9978907194,3.9639718188,4.0299954111
2026-02-11,3.9991651811,3.9639945168,4.0341398169
2026-02-12,3.9996696559,3.9656462763,4.0341662427
2026-02-13,3.9998692903,3.9645691321000003,4.0324561532
2026-02-14,3.9999482827,3.965634375,4.0343326243
2026-02-15,3.9999795375,3.9666569537000003,4.0320425445
2026-02-16,3.9999919038,3.9677547109,4.0331206954
2026-02-17,3.9999967967,3.9661655854,4.032134264
2026-02-18,3.9999987326,3.9663649838,4.0324919992
2026-02-19,3.9999994985000003,3.9658192463,4.0347452619
2026-02-20,3.9999998016,3.96654819,4.0345143915
2026-02-21,3.9999999215,3.9693173216,4.031268771
2026-02-22,3.9999999689,3.9696536489,4.0322773074
2026-02-23,3.9999999877,3.967032316,4.0337074489
2026-02-24,3.9999999951,3.9650689704,4.0301854082
2026-02-25,3.9999999981,3.9671922635,4.033945223
2026-02-26,3.9999999992,3.965610602,4.032232458
2026-02-27,3.9999999997,3.9668245684,4.0326887956
2026-02-28,3.9999999999,3.9628168464,4.034374679
2026-03-01,4.0,3.9672173624,4.0318623066
2026-03-02,4.0,3.9662462562,4.032592598
