id,toxicity_score,is_encrypted,upvotes_count,cluster,pca_x,pca_y
bfe6a970-69f8-4435-a9e8-ae3c3d9d6d57,2.0,False,1.0,2,0.9978560135049195,0.005090950584805208
cfc11fd8-ee13-46e6-997c-11210d66159b,1.0,False,3.0,0,0.3005182283056881,-0.006865394647345271
f7d445aa-9ee9-46d3-82ee-d9e5a241ee32,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
d8ecbb68-1ca6-46c7-b744-50a291eff9b9,1.0,False,5.0,0,0.30111164761993187,-0.00709335350379526
29e086f8-2870-4eda-b5d4-80223010ea84,0.0,False,3.0,0,-0.39741297620778726,-0.018593781023045645
c7998bc9-a135-4631-aa68-9c09043d6053,0.0,False,10.0,0,-0.3953360086079339,-0.01939163702062078
638fded9-4d59-45f6-9d73-3aaa23b62635,0.0,False,4.0,0,-0.39711626655066534,-0.018707760451270698
7cab6cf0-2307-4274-bfec-63af145e2acd,1.0,False,1.0,0,0.29992480899144425,-0.006637435790895281
a917d191-b8fd-4fbb-b6d0-5743a7735d2b,0.0,False,9.0,0,-0.3956327182650558,-0.01927765759239559
a96b6314-e33a-41be-9d54-8ae48ff570cb,4.0,False,0.0,2,2.3934217128747473,0.028661702764431193
00e379e4-11f4-4095-ac66-1c260f7281e4,0.0,False,5.0,0,-0.39681955689354337,-0.018821739879495748
0c73b1d5-cfd4-4eaf-9e1d-19969a79bd01,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
88a9d394-e950-488e-b47c-1fb2a6a8e6d0,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
a62dc655-03a1-4019-b674-7213dba47468,0.0,False,6.0,0,-0.39652284723642156,-0.018935719307720665
a67d78aa-0278-4268-b85f-30633db7e6dc,4.0,False,0.0,2,2.3934217128747473,0.028661702764431193
e4513467-1366-4476-9787-a234b19f8a31,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
f71c3f11-35d6-4d12-9b20-3cbc07755a8d,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
1286e86c-0b23-4f2e-b44f-ea215afb873f,0.0,False,4.0,0,-0.39711626655066534,-0.018707760451270698
3b036332-2b88-494c-bc11-39f89a21088e,1.0,False,3.0,0,0.3005182283056881,-0.006865394647345271
ed3183ba-eb88-4e80-a7d7-05ae9fa51538,0.0,False,14.0,0,-0.39414916997944616,-0.019847554733520713
3c99e982-9c01-440c-90e9-51d9f61b222d,0.0,False,9.0,0,-0.3956327182650558,-0.01927765759239559
7962e38e-6aca-46f9-b2e0-64ab17d190ac,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
fc0a44b0-95f1-4a02-b0ef-6565f8034c21,0.0,False,4.0,0,-0.39711626655066534,-0.018707760451270698
edd0453c-9b16-4a78-81bd-f9f70ec129c0,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
d9ba4b24-defd-4ea6-814e-9e0fe5c889a7,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
7a999eca-7607-4629-80a3-0a9665437927,0.0,False,3.0,0,-0.39741297620778726,-0.018593781023045645
0676845a-f089-42d1-be81-34af9f0b42b1,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
239f4a99-ef38-486d-9b22-bf3bb9285c7b,3.0,False,0.0,2,1.6954905083612721,0.01693331638873084
dfd36c95-0509-4860-9b24-e11b29f55de9,4.0,False,3.0,2,2.3943118418461133,0.028319764479755902
e7ab266a-9d60-428a-92bd-9c5b15bfd077,2.0,False,0.0,2,0.9975593038477976,0.005204930013030214
99a4f09a-f200-4546-86b3-830e0ac7b357,1.0,False,0.0,0,0.2996280993343223,-0.006523456362670229
